Rank,Release,Gross
615,Making Waves: The Art of Cinematic Sound,51254.00
616,Ophelia,50722.00
617,Clinton Road,50400.00
618,"Love, Antosha",50168.00
619,Free Trip to Egypt,49693.00
620,The Bounty Killer,48815.00
621,The Final Wish,48095.00
622,The Queen,47818.00
623,Becoming Astrid,47684.00
624,Under the Silver Lake,46083.00
625,Sympathy for the Devil,45927.00
626,�He matado a mi marido!,45777.00
627,High on the Hog,45696.00
628,The Proposal,45149.00
629,What Is Democracy?,44536.00
630,Maze,44381.00
,2019 Re-release,
631,American Dharma,44376.00
632,Carmine Street Guitars,44253.00
633,The Star,43510.00
,2019 Re-release,
634,Fagara,43417.00
635,Immortal Hero,43007.00
636,Vita & Virginia,42741.00
637,For Sama,41633.00
638,Midnight Traveler,41265.00
639,Clemency,40736.00
640,Charlie Says,40685.00
641,Slut in a Good Way,40513.00
642,Aniara,40124.00
643,Zilla and Zoe,39003.00
644,Shed of the Dead,38901.00
645,The Raft,38723.00
646,The Cave,38153.00
647,Batman Forever,38014.00
,2019 Re-release,
648,Union,37362.00
649,The Quiet One,37010.00
650,The Death of Dick Long,36856.00
651,The Sower,36233.00
652,Bu�uel in the Labyrinth of the Turtles,36205.00
653,Yardie,36012.00
654,Britt-Marie Was Here,35680.00
655,Loro,35613.00
656,White Snake,34730.00
657,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,34135.00
658,The Wild Pear Tree,34014.00
659,Killer Unicorn,33901.00
660,Moonlight Sonata: Deafness in Three Movements,33841.00
661,An Elephant Sitting Still,32556.00
662,Knife + Heart,32516.00
663,An Acceptable Loss,32427.00
664,10E,32413.00
665,�ga,31982.00
666,Desolation Center,31965.00
667,Gift,31618.00
668,Buddy,31203.00
669,Horn from the Heart: The Paul Butterfield Story,30815.00
670,Pasolini,30757.00
,2019 Re-release,
671,Space Station 3D,30655.00
672,Sorry Angel,30628.00
673,Los Reyes,30418.00
674,The Nun,30245.00
675,Deep Sea,30181.00
676,Lionel Richie at Glastonbury,30123.00
