Rank,Company Name,Employees,Revenues,Profits,Assets,MarketValue 
378,Casey's General Stores,26866.00,8364.90,203.90,3731.40,4874.80
379,WESCO International,9500.00,8358.90,223.40,5017.60,956.80
380,Tractor Supply,24000.00,8351.90,562.40,5289.30,9809.90
381,CommScope Holding,30000.00,8345.10,-929.50,14431.60,1779.00
382,Huntsman,10000.00,8342.00,562.00,8320.00,3217.20
383,American Financial Group,7700.00,8237.00,897.00,70130.00,6331.00
384,Masco,22000.00,8235.00,935.00,5027.00,9118.00
385,Sanmina,38500.00,8233.90,141.50,3905.50,1927.20
386,Amphenol,74000.00,8225.40,1155.00,10815.50,21725.60
387,Williams,4812.00,8201.00,850.00,46040.00,17165.70
388,Westinghouse Air Brake,27500.00,8200.00,326.70,18944.20,9227.10
389,Expeditors Intl. of Washington,18000.00,8175.40,590.40,3691.90,11208.20
390,Andersons,2284.00,8170.20,18.30,3900.70,628.70
391,Westlake Chemical,9430.00,8118.00,421.00,13261.00,4900.80
392,Constellation Brands,9800.00,8116.00,3435.90,29231.50,27601.30
393,Frontier Communications,18317.00,8107.00,-5911.00,17488.00,39.90
394,JetBlue Airways,19032.00,8094.00,569.00,11918.00,2525.70
395,Citizens Financial Group,17997.00,8066.00,1791.00,165733.00,8040.00
396,Raymond James Financial,14200.00,8023.00,1034.00,38830.00,8802.70
397,Foot Locker,33294.00,8005.00,491.00,6589.00,2297.40
398,Hershey,15330.00,7986.30,1149.70,8140.40,27791.80
399,Zimmer Biomet Holdings,19900.00,7982.20,1131.60,24638.70,20891.40
400,Cincinnati Financial,5200.00,7924.20,1997.40,25407.90,12241.50
401,Western & Southern Financial Group,2787.00,7920.50,244.90,54702.70,-
